num	lesson	student	skill	cell	right	eol
0	Splot	AGUFADE	VALUING-CAT-FEATURES	cell	1	eol
1	Splot	AGUFADE	VALUING-CAT-FEATURES	cell	0	eol
2	Splot	AOADMAC	VALUING-CAT-FEATURES	cell	1	eol
3	Splot	AOADMAC	VALUING-CAT-FEATURES	cell	0	eol
4	Splot	AOADMAC	VALUING-CAT-FEATURES	cell	0	eol
5	Splot	AOADMAC	VALUING-CAT-FEATURES	cell	1	eol
6	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
7	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	0	eol
8	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
9	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	0	eol
10	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
11	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
12	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
13	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
14	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
15	Splot	BBWILBE	VALUING-CAT-FEATURES	cell	1	eol
16	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	1	eol
17	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	0	eol
18	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	1	eol
19	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	0	eol
20	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	1	eol
21	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	1	eol
22	Splot	CMAEJDB	VALUING-CAT-FEATURES	cell	0	eol
23	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
24	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	0	eol
25	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
26	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
27	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
28	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
29	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
30	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
31	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
32	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
33	Splot	DGPIMDB	VALUING-CAT-FEATURES	cell	1	eol
34	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
35	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	0	eol
36	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	0	eol
37	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
38	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
39	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
40	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
41	Splot	FIRKBFD	VALUING-CAT-FEATURES	cell	1	eol
42	Splot	FJPFHFC	VALUING-CAT-FEATURES	cell	1	eol
43	Splot	FJPFHFC	VALUING-CAT-FEATURES	cell	1	eol
44	Splot	FJPFHFC	VALUING-CAT-FEATURES	cell	0	eol
45	Splot	FJPFHFC	VALUING-CAT-FEATURES	cell	1	eol
46	Splot	FMLBJDC	VALUING-CAT-FEATURES	cell	0	eol
47	Splot	FMLBJDC	VALUING-CAT-FEATURES	cell	1	eol
48	Splot	FMLBJDC	VALUING-CAT-FEATURES	cell	0	eol
49	Splot	FMLBJDC	VALUING-CAT-FEATURES	cell	1	eol
50	Splot	FMLBJDC	VALUING-CAT-FEATURES	cell	0	eol
51	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	1	eol
52	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	1	eol
53	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	1	eol
54	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	1	eol
55	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	0	eol
56	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	1	eol
57	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	0	eol
58	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	0	eol
59	Splot	GOBFICA	VALUING-CAT-FEATURES	cell	0	eol
60	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
61	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
62	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
63	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
64	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
65	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
66	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
67	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
68	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
69	Splot	HEWAJGA	VALUING-CAT-FEATURES	cell	1	eol
70	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
71	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
72	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
73	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
74	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
